Station ID,Station Name,First data packet,Rewardable Hours,Allocated Rewards,Max Daily Claim, Transferred Hours From
033b6fb0-9636-11ec-900c-abdec1c57354,Winning Aquamarine Mesocyclones,2022-02-25,17116,1417.458821,3.883449,
044493e0-8d86-11ec-900c-abdec1c57354,Gentle Slate Season,2022-02-16,15460,1280.317444,3.507719,
02bc1730-994f-11ec-966b-a173bf0cd052,Gigantic Lead Centimeter,2022-03-01,16316,1351.206948,3.701937,
04b026d0-93f0-11ec-900c-abdec1c57354,Precise Amber Drought,2022-02-22,11363,941.02504,2.578151,
0154b920-9327-11ec-966b-a173bf0cd052,Radiant Coffee Hectopascal,2022-02-21,15875,1314.685603,3.601878,
001f1c20-9323-11ec-900c-abdec1c57354,Wobbly Butter Thunder,2022-02-21,16832,1393.939406,3.819012,
06c83d40-88bf-11ec-966b-a173bf0cd052,Droll Vanilla Isotherm,2022-02-08,16733,1385.740736,3.79655,
07bd5630-88c0-11ec-966b-a173bf0cd052,Obedient Kobe Forecast,2022-02-08,17726,1467.975874,4.021852,
09acd220-949d-11ec-900c-abdec1c57354,Digital Beige Condensation,2022-02-23,14520,1202.471493,3.294442,
09fd7650-93f1-11ec-966b-a173bf0cd052,Polite Carrot Steam,2022-02-22,17310,1433.5249,3.927465,
0bf779b0-9964-11ec-900c-abdec1c57354,Proper Sunset Flurry,2022-03-01,6588,545.584173,1.494751,
10434580-9635-11ec-966b-a173bf0cd052,Hazy Powder Cirrus,2022-02-25,15234,1261.60129,3.456442,
0be27b40-93f7-11ec-966b-a173bf0cd052,Fit Tyrian Evaporation,2022-02-22,9694,802.80707,2.199471,
0d8f8e40-8e81-11ec-966b-a173bf0cd052,Overcast Tan Sunset,2022-02-15,16938,1402.717779,3.843062,
12648780-9959-11ec-966b-a173bf0cd052,Rough Mocha Cloudburst,2022-03-01,14928,1236.259948,3.387014,
11a9e1c0-9632-11ec-966b-a173bf0cd052,Ancient Umber Altocumulus,2022-02-25,15825,1310.544861,3.590534,
13171a70-963f-11ec-900c-abdec1c57354,Cold Macaroon Sleet,2022-02-25,16920,1401.227112,3.838978,
147c0ed0-8e82-11ec-900c-abdec1c57354,Rich Brandy Nimbostratus,2022-02-18,15608,1292.57404,3.541299,
14b049d0-8b43-11ec-966b-a173bf0cd052,Shiny Shadow Hurricane,2022-02-11,12369,1024.33677,2.806402,
157a58e0-a463-11ec-900c-abdec1c57354,Able Marigold Water,2022-03-29,3711,307.325875,0.841989,
15270b00-8b44-11ec-966b-a173bf0cd052,Howling Cobalt Upwind,2022-02-11,16222,1343.422353,3.680609,
1585ec80-8db8-11ec-900c-abdec1c57354,Polite Lemon Uv,2022-02-14,17276,1430.709195,3.919751,
16c0a480-8dba-11ec-966b-a173bf0cd052,Dazzling Cloth Thunder,2022-02-14,14725,1219.448535,3.340955,
17025670-8e80-11ec-900c-abdec1c57354,Curly Pumpkin Shower,2022-02-15,17525,1451.330091,3.976247,
182b0da0-9644-11ec-900c-abdec1c57354,Bitter Pine Zenith,2022-02-25,14368,1189.883637,3.259955,
1ad41570-8db0-11ec-900c-abdec1c57354,Jumpy Tawny Climatology,2022-02-14,4843,401.072276,1.098828,
170ab510-963a-11ec-900c-abdec1c57354,Overt Hickory Ice,2022-02-25,17397,1440.729791,3.947205,
1d44f0d0-9955-11ec-966b-a173bf0cd052,Old Magnolia Rainstorm,2022-03-01,14643,1212.657718,3.32235,
1c6065d0-9637-11ec-966b-a173bf0cd052,Wild Tortilla Gale,2022-02-25,8829,731.172232,2.003212,
20559890-a06e-11ec-966b-a173bf0cd052,Polished Bubblegum Fahrenheit,2022-03-10,6898,571.256774,1.565087,
1f0e9460-8dbc-11ec-900c-abdec1c57354,Refined Fawn Altocumulus,2022-02-14,14162,1172.82378,3.213216,
2270ce40-9959-11ec-900c-abdec1c57354,Lively Seaweed Sunshine,2022-03-01,15796,1308.14323,3.583954,
2172bb00-9960-11ec-900c-abdec1c57354,Docile Canvas Barometric,2022-03-01,11756,973.571272,2.667319,
24da18c0-8b45-11ec-966b-a173bf0cd052,Original Misty Barometer,2022-02-11,15318,1268.557736,3.475501,
24e2fb40-962e-11ec-900c-abdec1c57354,Great Admiral Longitude,2022-02-25,16520,1368.101175,3.748222,
24e842e0-93f3-11ec-900c-abdec1c57354,Overcast Ceramic Derecho,2022-02-22,11537,955.434822,2.61763,
25590d00-8835-11ec-966b-a173bf0cd052,Prehistoric Eggshell Uv,2022-02-09,17211,1425.32623,3.905003,
25b25e10-8dbb-11ec-900c-abdec1c57354,Merry Bone Climatology,2022-02-14,12596,1043.135739,2.857906,
2811db00-9323-11ec-966b-a173bf0cd052,Scruffy Skobeloff Sleet,2022-02-21,14322,1186.074154,3.249518,
29476490-9954-11ec-966b-a173bf0cd052,Shambolic Chestnut Contrails,2022-03-01,16282,1348.391243,3.694223,
287487d0-93fc-11ec-900c-abdec1c57354,Nutty Ecru Scorcher,2022-02-22,16390,1357.335246,3.718727,
2a04dbf0-9324-11ec-966b-a173bf0cd052,Great Mercurial Squall,2022-02-21,10411,862.185311,2.362152,
2a7251b0-a465-11ec-900c-abdec1c57354,Precise Myrtle Flurry,2022-03-15,7183,594.859004,1.629751,
2b3dc440-949c-11ec-900c-abdec1c57354,Smooth Glass Mesocyclones,2022-02-23,9415,779.701729,2.136169,
30453420-995e-11ec-966b-a173bf0cd052,Clean Hickory Sunlight,2022-03-01,14116,1169.014297,3.202779,
2dd798a0-8daf-11ec-966b-a173bf0cd052,Bitter Walnut Aurora,2022-02-14,1038,85.961805,0.235512,
33e22dd0-995a-11ec-966b-a173bf0cd052,Striped Blood Gust,2022-03-01,15071,1248.10247,3.419459,
32fc2800-9322-11ec-966b-a173bf0cd052,Bubbly Tawny Zenith,2022-02-21,11537,955.434822,2.61763,
379df050-8b43-11ec-900c-abdec1c57354,Kind Amaranth Condensation,2022-02-11,17197,1424.166823,3.901827,
3878ed20-8e5b-11ec-966b-a173bf0cd052,Dry Hazelnut Earth,2022-02-15,16466,1363.629174,3.73597,
386aa930-9325-11ec-966b-a173bf0cd052,Amusing Cinereous Forecast,2022-02-21,17294,1432.199862,3.923835,
39fb48a0-8b40-11ec-900c-abdec1c57354,Spicy Lilac Cyclone,2022-02-11,12889,1067.400487,2.924385,
3a08f630-93f1-11ec-900c-abdec1c57354,Helpful Pearl Smog,2022-02-22,9140,756.927648,2.073774,
3d97cfd0-9642-11ec-900c-abdec1c57354,Smooth Aureolin Whirlwind,2022-02-25,2572,212.999771,0.583561,
4086bef0-962d-11ec-966b-a173bf0cd052,Mean Zomp Lightning,2022-02-25,15709,1300.938339,3.564215,
41a59a70-9643-11ec-900c-abdec1c57354,Torrential Licorice Cloud,2022-02-25,16488,1365.4511,3.740962,
44df2270-8daf-11ec-966b-a173bf0cd052,Balmy Chambray Cloud,2022-02-14,5621,465.502222,1.275349,
46193c00-88c0-11ec-900c-abdec1c57354,Furry Golden Downpour,2022-02-08,16014,1326.196866,3.633416,
46a94440-9959-11ec-900c-abdec1c57354,Acrobatic Malachite Hailstones,2022-03-01,17235,1427.313787,3.910449,
47fcc320-9955-11ec-900c-abdec1c57354,Mild Carbon Barometer,2022-03-01,15677,1298.288264,3.556954,
484d96b0-995f-11ec-966b-a173bf0cd052,Sour Pastel Firestorm,2022-03-01,7757,642.394723,1.759986,
48ff9f10-9953-11ec-966b-a173bf0cd052,Narrow Asparagus Climatologist,2022-03-01,11724,970.921197,2.660058,
493a5780-8b44-11ec-966b-a173bf0cd052,Salty Mossy Rain,2022-02-11,17008,1408.514818,3.858945,
4b737380-9498-11ec-966b-a173bf0cd052,Basic Currant Rain,2022-02-23,16327,1352.117911,3.704433,
4d67d610-9630-11ec-900c-abdec1c57354,Blurry Malachite Ice,2022-02-25,14519,1202.388678,3.294216,
4da8ed80-8dbb-11ec-966b-a173bf0cd052,Fit Tangerine Scud,2022-02-14,8909,584.607122,1.601663,
4ee61ab0-8b45-11ec-900c-abdec1c57354,Overt Iris Meteorologist,2022-02-11,1074,88.943139,0.24368,
507bf1d0-9499-11ec-900c-abdec1c57354,Tart Skobeloff Cumulus,2022-02-23,6614,547.737359,1.50065,
4f5a95a0-9641-11ec-966b-a173bf0cd052,Gorgeous Orange Cirrus,2022-02-25,15207,1259.365289,3.450316,
5453f480-949c-11ec-900c-abdec1c57354,Fast Peanut Drought,2022-02-23,15151,1254.727658,3.43761,
514ce630-9635-11ec-966b-a173bf0cd052,Fine Nylon Cold,2022-02-25,16270,1347.397465,3.6915,
51d762f0-9956-11ec-966b-a173bf0cd052,Restless Yellow Sunshine,2022-03-01,12119,1003.633059,2.74968,
566296c0-995e-11ec-966b-a173bf0cd052,Brave Honeydew Precipitation,2022-03-01,15402,1275.514183,3.494559,
59d6ed80-93ee-11ec-900c-abdec1c57354,Expert Glass Barometer,2022-02-22,14072,1165.370444,3.192796,
5c170620-9957-11ec-966b-a173bf0cd052,Real Glaucous Shower,2022-03-01,14750,1221.518906,3.346627,
5f3c9660-88bf-11ec-900c-abdec1c57354,Orbiting Wintergreen Shower,2022-02-08,16128,1335.637758,3.659282,
639c05a0-8b40-11ec-900c-abdec1c57354,Breezy Gingham Moisture,2022-02-11,9450,782.600249,2.14411,
66a10bf0-963b-11ec-966b-a173bf0cd052,Nutty Parchment Easterlies,2022-02-25,16277,1347.977169,3.693088,
669f3920-995a-11ec-900c-abdec1c57354,Gentle Citron Latitude,2022-03-01,7934,657.052949,1.800145,
66524450-93f9-11ec-966b-a173bf0cd052,Happy Cream Rainbow,2022-02-22,17215,1425.65749,3.905911,
6742e8a0-9959-11ec-966b-a173bf0cd052,Smooth Iron Barometric,2022-03-01,15981,1323.463976,3.625929,
68f27110-8e5b-11ec-900c-abdec1c57354,Cloudy Steel Rainfall,2022-02-15,9329,612.167453,1.677171,
676196f0-88c0-11ec-966b-a173bf0cd052,Boiling Vanilla Spring,2022-02-08,16936,1402.552149,3.842609,
6d5b54c0-9643-11ec-900c-abdec1c57354,Frontal Obsidian Cloud,2022-02-25,6739,558.089214,1.529012,
6dd53170-8db8-11ec-900c-abdec1c57354,Abundant Dandelion Dew,2022-02-14,17386,1439.818828,3.944709,
6f62bd00-8dbd-11ec-966b-a173bf0cd052,Nutty Harlequin Hurricane,2022-02-15,17196,1424.084008,3.9016,
6ee50010-9324-11ec-900c-abdec1c57354,Dizzy Sandstone Pollution,2022-02-21,16871,1397.169184,3.827861,
71c2d6e0-995f-11ec-900c-abdec1c57354,Rural Metal Cyclone,2022-03-01,11205,927.940295,2.542302,
7285d320-8db6-11ec-966b-a173bf0cd052,Petite Almond Drizzle,2022-02-14,17342,1436.174975,3.934726,
73872300-8e65-11ec-900c-abdec1c57354,Mini Ruby Ozone,2022-02-15,9560,627.325635,1.7187,
74858fa0-9499-11ec-966b-a173bf0cd052,Unique Banana Sunburst,2022-02-23,16549,1370.502806,3.754802,
73975680-9964-11ec-900c-abdec1c57354,Zesty Jetblack Coriolis,2022-03-01,16960,1404.539705,3.848054,
757a0f80-949e-11ec-900c-abdec1c57354,Shaggy Hotpink Hail,2022-02-23,15071,1248.10247,3.419459,
76262dd0-995b-11ec-966b-a173bf0cd052,Plain Amber Stratocumulus,2022-03-01,7511,492.870591,1.35033,
76eae580-8b46-11ec-966b-a173bf0cd052,Mean Sangria Altitude,2022-02-11,14058,1164.211036,3.189619,
7715c940-8dbb-11ec-966b-a173bf0cd052,Salty Syrup Nowcast,2022-02-14,16804,1391.62059,3.812659,
77801940-8dba-11ec-900c-abdec1c57354,Handsome Hickory Season,2022-02-14,17474,1447.106534,3.964675,
